                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4788,                 4.1677,                  4.216,                 3.1992,                 4.8712,                  4.276,                0.00024,                 0.0728,                0.00551,                0.00159,                 2.4356,                 4.1783,                  4.155,                 2.1189,                 4.8065,                 4.1547,             0.00015719,             0.00015719,             0.00015719
                      2,                 3.4287,                 4.1033,                 4.1446,                 3.1354,                  4.722,                  4.198,                0.00027,                0.08046,                0.00093,                0.00019,                 2.4201,                 4.1707,                 4.1374,                 2.1121,                 4.7989,                 4.1425,             0.00032704,             0.00032704,             0.00032704
                      3,                 3.2842,                 3.9165,                 3.9749,                 2.9274,                 4.4449,                 3.9765,                0.00027,                0.08046,                0.00076,                0.00017,                 2.3815,                 4.1523,                 4.0955,                 2.0944,                 4.7833,                  4.115,              0.0004952,              0.0004952,              0.0004952
                      4,                 2.8331,                 3.3808,                  3.569,                 2.3998,                 3.8622,                 3.4734,                0.00029,                0.08812,                0.00618,                0.00119,                 2.2691,                 4.1103,                 4.0073,                  2.021,                 4.7422,                  4.052,             0.00066166,             0.00066166,             0.00066166
                      5,                 2.4976,                 2.5857,                 3.1642,                 2.0514,                 3.2836,                 3.0173,                0.00034,                0.08812,                0.00135,                0.00023,                 2.3295,                 4.0669,                 3.9945,                 2.1307,                 4.7078,                 4.0593,             0.00082642,             0.00082642,             0.00082642
                      6,                  2.373,                 2.0844,                 2.7776,                 1.9663,                 2.8517,                 2.6027,                0.00038,                 0.0728,                0.00175,                0.00033,                 2.2279,                 3.9697,                 3.9367,                 2.0879,                 4.6128,                 4.0746,             0.00098948,             0.00098948,             0.00098948
                      7,                 2.1152,                  1.837,                 2.4762,                 1.8385,                 2.5904,                 2.2974,                0.00041,                0.06513,                0.00721,                0.00196,                   1.99,                 3.6335,                 3.5922,                 1.5724,                 4.4231,                 3.6392,              0.0011508,              0.0011508,              0.0011508
                      8,                 1.9584,                 1.6804,                 2.2809,                 1.8054,                 2.3511,                 2.1022,                0.01971,                0.30817,                 0.0583,                0.02815,                 1.9332,                 3.2463,                 3.0233,                 1.4321,                 4.0936,                 2.8411,              0.0013105,              0.0013105,              0.0013105
                      9,                 1.8479,                 1.5671,                 2.1203,                 1.7687,                 2.1836,                 1.9845,                0.88585,                0.09859,                0.29936,                0.17938,                 1.8232,                 2.3839,                  2.187,                 1.6434,                 2.7125,                 1.8381,              0.0013724,              0.0013724,              0.0013724
                     10,                 1.6946,                 1.4342,                 1.9895,                 1.6607,                 1.9592,                 1.8689,                0.76987,                0.19754,                0.37084,                0.16994,                 1.9832,                 2.1074,                 2.2162,                 1.8886,                 2.4654,                 2.0359,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.6403,                 1.3882,                 1.9058,                 1.6041,                 1.8377,                 1.8176,                0.74576,                0.44695,                0.52565,                0.28448,                 1.8125,                 1.5028,                 1.9977,                 1.8199,                 1.7719,                 1.8929,              0.0013653,              0.0013653,              0.0013653
                     12,                 1.5609,                 1.3155,                 1.8482,                 1.5767,                 1.7297,                 1.7834,                0.64601,                0.64672,                0.68931,                0.42298,                 1.4704,                 1.2744,                 1.7767,                 1.4395,                  1.485,                 1.5855,              0.0013583,              0.0013583,              0.0013583
                     13,                 1.4932,                 1.2584,                   1.78,                 1.5148,                 1.6407,                 1.7093,                0.73107,                0.63116,                0.70791,                0.41053,                 1.4034,                 1.2571,                 1.7737,                 1.3995,                  1.533,                 1.5727,              0.0013512,              0.0013512,              0.0013512
                     14,                 1.5216,                 1.2298,                 1.8007,                 1.5324,                 1.5723,                 1.7197,                0.62518,                0.67609,                0.69366,                0.37999,                 1.3289,                 1.2079,                 1.7334,                 1.3437,                 1.4182,                 1.5059,              0.0013441,              0.0013441,              0.0013441
                     15,                  1.454,                 1.1943,                 1.7308,                 1.4706,                 1.5245,                 1.6675,                0.69802,                0.70303,                0.74649,                0.43959,                 1.3102,                 1.1897,                 1.6264,                 1.3633,                 1.3505,                 1.4956,               0.001337,               0.001337,               0.001337
                     16,                 1.4212,                 1.1455,                 1.6997,                 1.4348,                 1.4267,                  1.638,                0.72508,                0.77748,                0.80011,                0.48357,                 1.3129,                 1.1092,                 1.6667,                 1.3461,                 1.2896,                 1.4836,                0.00133,                0.00133,                0.00133
                     17,                 1.4472,                 1.1888,                 1.7388,                 1.4664,                 1.4885,                 1.6712,                0.72066,                 0.7679,                 0.7955,                0.47547,                 1.2636,                 1.1697,                 1.6604,                 1.2561,                 1.2601,                 1.4518,              0.0013229,              0.0013229,              0.0013229
                     18,                 1.3939,                 1.1501,                 1.6743,                 1.4141,                 1.4116,                  1.614,                0.69687,                0.75768,                0.77621,                0.48417,                 1.3148,                 1.1447,                 1.6231,                 1.2955,                 1.2496,                 1.4374,              0.0013158,              0.0013158,              0.0013158
                     19,                 1.3635,                 1.1218,                 1.6404,                 1.4052,                 1.3614,                 1.5956,                0.76703,                0.77056,                  0.817,                0.50056,                 1.2246,                 1.0106,                 1.5613,                 1.2588,                 1.1323,                 1.4009,              0.0013087,              0.0013087,              0.0013087
                     20,                 1.3418,                 1.0763,                 1.6381,                 1.3732,                 1.3076,                 1.5838,                0.70472,                0.73523,                0.79249,                 0.4941,                 1.2828,                 1.0583,                 1.6865,                 1.2516,                 1.2043,                 1.4545,              0.0013017,              0.0013017,              0.0013017
                     21,                 1.3731,                 1.0812,                 1.6488,                 1.3982,                 1.2933,                 1.5925,                0.71884,                0.82108,                0.81753,                0.50957,                 1.1888,                0.99567,                 1.5362,                 1.2188,                 1.1072,                 1.3858,              0.0012946,              0.0012946,              0.0012946
                     22,                 1.3547,                 1.0539,                 1.6305,                 1.3783,                 1.2608,                 1.5845,                0.74669,                0.78313,                0.82615,                0.51952,                 1.1864,                 1.0204,                 1.5207,                 1.2116,                 1.0886,                 1.3792,              0.0012875,              0.0012875,              0.0012875
                     23,                 1.3193,                 1.0269,                 1.5992,                 1.3662,                 1.2234,                 1.5639,                0.76453,                 0.7102,                0.79462,                0.50323,                 1.2348,                 1.0583,                 1.5962,                 1.2232,                 1.1073,                 1.4087,              0.0012805,              0.0012805,              0.0012805
                     24,                 1.3344,                 1.0237,                  1.619,                 1.3599,                 1.2196,                  1.564,                0.68946,                0.71294,                0.77906,                0.51946,                 1.2247,                 1.0223,                 1.5775,                 1.2048,                 1.1671,                 1.3956,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.3034,                 1.0193,                 1.5924,                 1.3249,                 1.2183,                 1.5387,                0.74629,                0.80098,                0.84508,                0.56329,                 1.1683,                0.94965,                 1.4803,                 1.1974,                 1.0238,                 1.3529,              0.0012663,              0.0012663,              0.0012663
                     26,                 1.2922,                 1.0039,                 1.5829,                 1.3167,                 1.1992,                 1.5407,                0.72128,                0.77233,                0.81587,                0.53621,                 1.1627,                0.93793,                  1.481,                  1.186,                 1.0241,                 1.3603,              0.0012592,              0.0012592,              0.0012592
                     27,                 1.2553,                0.95989,                 1.5369,                 1.2818,                 1.1446,                 1.5016,                0.74829,                0.79656,                0.84761,                0.54999,                 1.2112,                0.93132,                 1.5456,                 1.2158,                 1.0083,                 1.3754,              0.0012522,              0.0012522,              0.0012522
                     28,                 1.2801,                0.99883,                 1.5715,                  1.319,                 1.1837,                 1.5333,                0.70292,                0.74747,                0.81595,                0.54896,                 1.1628,                0.93796,                 1.5296,                 1.1906,                0.98474,                 1.3771,              0.0012451,              0.0012451,              0.0012451
                     29,                 1.2597,                0.96955,                 1.5327,                 1.2956,                 1.1346,                 1.5009,                0.78168,                0.78239,                0.84868,                0.56842,                 1.1575,                0.94681,                 1.4901,                 1.1805,                   0.97,                 1.3357,               0.001238,               0.001238,               0.001238
                     30,                 1.2582,                0.99317,                 1.5408,                 1.2916,                 1.1669,                 1.5069,                0.72022,                0.81425,                0.83931,                0.56133,                  1.156,                0.92425,                 1.4806,                  1.151,                0.96966,                 1.3332,              0.0012309,              0.0012309,              0.0012309
                     31,                 1.2652,                0.98213,                 1.5489,                 1.2896,                 1.1486,                 1.5178,                0.73331,                0.78765,                0.83252,                0.55772,                 1.1664,                0.91678,                 1.5056,                 1.1769,                0.93551,                 1.3472,              0.0012239,              0.0012239,              0.0012239
                     32,                 1.2481,                0.95832,                 1.5197,                 1.2819,                 1.1063,                 1.4889,                0.74341,                0.79841,                0.84226,                0.55267,                 1.1605,                0.90733,                 1.4627,                  1.169,                0.93139,                 1.3202,              0.0012168,              0.0012168,              0.0012168
                     33,                 1.2415,                0.96212,                 1.5195,                 1.2721,                 1.1052,                 1.4855,                0.74305,                0.80733,                0.83182,                0.55146,                 1.1484,                0.89699,                 1.4595,                 1.1467,                0.91813,                 1.3202,              0.0012097,              0.0012097,              0.0012097
                     34,                 1.2747,                0.96604,                 1.5359,                 1.2964,                  1.114,                  1.494,                0.72909,                0.81739,                0.84123,                0.57811,                 1.1462,                0.91815,                  1.454,                 1.1365,                0.92421,                 1.3105,              0.0012026,              0.0012026,              0.0012026
                     35,                 1.2315,                0.93857,                 1.5124,                 1.2573,                 1.0599,                 1.4731,                0.73174,                0.81296,                0.84594,                0.57583,                 1.1402,                0.91164,                 1.4796,                 1.1383,                0.92055,                 1.3149,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.2367,                0.95276,                 1.5183,                 1.2663,                 1.0752,                 1.4767,                0.68498,                0.76195,                0.79846,                 0.5182,                   1.16,                0.90097,                 1.4615,                 1.1818,                0.92536,                 1.3396,              0.0011885,              0.0011885,              0.0011885
                     37,                 1.2285,                0.93886,                 1.5005,                 1.2598,                   1.06,                  1.465,                0.73528,                0.78989,                0.82058,                0.53415,                 1.1584,                0.90024,                 1.4862,                 1.1848,                0.91809,                 1.3435,              0.0011814,              0.0011814,              0.0011814
                     38,                 1.2371,                0.93434,                 1.5114,                 1.2705,                 1.0598,                 1.4718,                0.76364,                0.80979,                0.86369,                0.58585,                   1.15,                0.86818,                 1.4399,                 1.1599,                0.86559,                 1.3093,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.2289,                0.92818,                 1.5049,                 1.2493,                 1.0335,                 1.4626,                0.76136,                0.83198,                0.86325,                0.59113,                 1.1455,                0.86024,                 1.4197,                 1.1724,                0.88542,                  1.303,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.2306,                  0.905,                  1.499,                 1.2499,                 1.0233,                 1.4532,                0.79588,                0.73324,                0.82185,                0.52957,                 1.1793,                0.90872,                 1.4342,                 1.1987,                0.90959,                 1.3206,              0.0011602,              0.0011602,              0.0011602
                     41,                 1.2202,                0.93308,                 1.4939,                 1.2497,                 1.0341,                 1.4567,                0.76371,                 0.8381,                 0.8748,                0.59441,                 1.1038,                0.83077,                 1.4146,                 1.1351,                0.83036,                  1.298,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.1821,                0.89931,                 1.4602,                 1.2142,                 1.0205,                 1.4238,                 0.8311,                0.78888,                0.88024,                0.60694,                 1.0795,                 0.8202,                 1.3733,                 1.1077,                0.79642,                 1.2647,              0.0011461,              0.0011461,              0.0011461
                     43,                 1.1861,                0.89249,                 1.4647,                 1.2214,                0.99787,                 1.4321,                0.72786,                0.78716,                0.82473,                0.56137,                 1.0978,                0.87291,                 1.4094,                 1.1146,                0.88589,                 1.2845,               0.001139,               0.001139,               0.001139
                     44,                 1.2251,                0.93881,                 1.4992,                 1.2517,                 1.0537,                 1.4624,                0.83531,                0.77063,                0.87883,                  0.597,                 1.1309,                0.82081,                 1.3927,                 1.1657,                 0.7789,                 1.2917,              0.0011319,              0.0011319,              0.0011319
                     45,                 1.1937,                 0.8922,                 1.4653,                  1.227,                0.98927,                 1.4358,                  0.801,                0.79226,                0.86296,                0.59071,                 1.1201,                0.81654,                 1.3777,                 1.1322,                0.80631,                 1.2731,              0.0011248,              0.0011248,              0.0011248
                     46,                 1.1798,                0.89681,                 1.4541,                 1.2123,                 1.0082,                  1.428,                 0.8524,                0.83165,                0.88775,                0.61711,                 1.0862,                0.80868,                 1.3861,                 1.1147,                0.77578,                 1.2663,              0.0011178,              0.0011178,              0.0011178
                     47,                 1.1857,                0.88969,                 1.4638,                 1.2274,                0.99146,                 1.4344,                0.73463,                0.77604,                0.81301,                0.55067,                 1.1012,                 0.8382,                 1.3933,                 1.1202,                0.83501,                 1.2792,              0.0011107,              0.0011107,              0.0011107
                     48,                 1.1703,                0.89029,                 1.4523,                 1.2114,                0.98797,                 1.4281,                0.53882,                0.62485,                0.57189,                0.34055,                 1.2103,                 1.1205,                 1.5422,                 1.2268,                 1.1518,                 1.3861,              0.0011036,              0.0011036,              0.0011036
                     49,                 1.1759,                0.90182,                 1.4542,                 1.2051,                0.99843,                  1.424,                0.80248,                 0.8308,                0.86885,                0.60581,                 1.0959,                0.83931,                  1.374,                 1.1276,                0.80307,                 1.2663,              0.0010965,              0.0010965,              0.0010965
                     50,                 1.1596,                0.87086,                 1.4488,                 1.1963,                0.97038,                 1.4187,                0.82021,                 0.8106,                0.87666,                0.60531,                 1.0864,                0.80419,                 1.4042,                  1.121,                0.79731,                 1.2764,              0.0010895,              0.0010895,              0.0010895
                     51,                 1.1616,                0.86234,                 1.4426,                 1.1968,                0.96416,                 1.4147,                0.79765,                0.83602,                0.88566,                0.61585,                 1.1186,                0.81632,                 1.3967,                 1.1322,                0.78302,                 1.2765,              0.0010824,              0.0010824,              0.0010824
                     52,                 1.1808,                0.87911,                 1.4566,                 1.2171,                0.97262,                 1.4338,                0.82234,                0.83511,                0.88631,                0.61078,                 1.0797,                0.82092,                  1.371,                 1.1134,                0.80155,                 1.2596,              0.0010753,              0.0010753,              0.0010753
                     53,                 1.1667,                0.87422,                  1.443,                 1.2086,                0.96698,                 1.4178,                0.82952,                0.82745,                0.88119,                0.61074,                  1.072,                0.79089,                 1.3826,                 1.1018,                0.77145,                 1.2698,              0.0010682,              0.0010682,              0.0010682
                     54,                 1.1562,                0.87523,                 1.4378,                 1.1913,                0.96244,                 1.4143,                0.80844,                0.85056,                0.89205,                0.61353,                 1.0632,                0.78349,                 1.3684,                 1.1021,                0.76084,                 1.2509,              0.0010612,              0.0010612,              0.0010612
                     55,                 1.1508,                0.87426,                 1.4279,                 1.1901,                0.95742,                 1.4091,                0.80561,                0.83262,                0.88045,                0.61766,                 1.0694,                0.79947,                 1.3701,                 1.0888,                0.80707,                 1.2543,              0.0010541,              0.0010541,              0.0010541
                     56,                 1.1607,                0.86083,                 1.4452,                 1.1919,                0.93878,                 1.4193,                0.75681,                0.86643,                0.87938,                0.59925,                 1.0794,                0.78625,                 1.3584,                 1.1145,                0.79628,                 1.2551,               0.001047,               0.001047,               0.001047
